Nama Herbal,Khasiat,Saran Penyajian
Adas,"Adas mengandung senyawa anetol dan cineole yang memiliki sifat antiinflamasi dan antispasmodik. Senyawa-senyawa ini dapat membantu meredakan peradangan dan spasme pada saluran pernapasan, sehingga dapat membantu meredakan batuk.","5 gram serbuk buah adas diseduh dengan ½  cangkir air mendidih. Setelah dingin disaring, tambahkan 1 sendok teh madu. Aduk sampai merata, minum sekaligus. Lakukan 2 kali sehari sampai sembuh"
Adas,"Adas mengandung senyawa anetol dan cineole yang memiliki sifat bronkodilator. Senyawa-senyawa ini dapat membantu melebarkan saluran pernapasan, sehingga dapat membantu meredakan sesak napas.","10 tetes minyak adas diseduh dengan 1 sdm air panas. Minum selagi hangat. Lakukan 3 kali sehari, sampai sembuh."
Adas,Adas mengandung senyawa anetol yang memiliki sifat antibakteri dan antiinflamasi. Senyawa-senyawa ini dapat membantu membunuh bakteri penyebab sariawan dan meredakan peradangan pada area sariawan.,"3⁄4 sdt adas, ketumbar 3⁄4 sdt, daun iler 1⁄5 genggam, daun saga 1⁄4 genggam, sisik naga 1⁄5 genggam, daun sembung 1⁄4 genggam, pegagan 1⁄4 genggam, daun kentut 1⁄6 genggam, pulosari 3⁄4 jari, rimpang lempuyang wangi ½  jari, rimpang kunyit ½  jari, kayu manis 3⁄4 jari, gula merah 3 jari, dicuci dan dipotong-potong seperlunya. Bahan-bahan tersebut lalu direbus dengan 4 ½  gelas air bersih sampai tersisa separonya. Setelah dingin disaring, siap untuk diminum. Sehari 3 kali, setiap kali cukup 3⁄4 gelas."
Adas,"Adas mengandung senyawa anetol yang memiliki sifat estrogenik. Senyawa ini dapat membantu meregulasi hormon estrogen, sehingga dapat membantu mengatasi haid tidak teratur.","1⁄5 genggam daun srigading dan 1⁄5 genggam bunga srigading, jinten hitam 3⁄4 sdt, adas ½  sdt, pulosari ½  jari, bunga kesumba keling 2 kuntum, jeruk nipis 2 buah, gula batu sebesar telur ayam, dicuci lalu dipotong-potong seperlunya. bahan-bahan tersebut direbus dengan 3 gelas air bersih sampai tersisa 2 1⁄4 gelas. setelah dingin disaring, minum 3 kali sehari, masing-masing 3⁄4 gelas."
Adas,Adas mengandung senyawa anetol yang memiliki sifat koleretik dan kolagog. Senyawa-senyawa ini dapat membantu meningkatkan produksi empedu dan melancarkan pengeluarannya. Hal ini dapat membantu memecah batu empedu menjadi lebih kecil dan mempermudah pengeluarannya.,5 gram serbuk buah adas diseduh dengan 1 cangkir air panas. Minum selagi panas.
Adas,Adas mengandung senyawa anetol yang memiliki sifat antitoksik. Senyawa ini dapat membantu menetralkan racun yang masuk ke dalam tubuh.,5 gram serbuk buah adas diseduh dengan setengah cangkir arak. Minum selagi hangat.
Adem Ati,"Kandungan kimia dalam adem ati, seperti flavonol, tanin, dan saponin, memiliki efek diuretik yang dapat meningkatkan produksi urine. Efek diuretik ini dapat membantu mengeluarkan racun-racun dari dalam tubuh melalui urine.","5 Gram akar adem ati, 4 lembar daun salam segar dan 140 ml air. Direbus hingga mendidih. Diminum 2 kali sehari, pagi dan sore, setiap minum 100 ml."
Adem Ati,"Kandungan kimia dalam adem ati, seperti flavonoid, tanin, dan saponin, memiliki efek anti-inflamasi yang dapat mengurangi peradangan. Efek anti-inflamasi ini dapat membantu meredakan nyeri dan pembengkakan yang disebabkan oleh peradangan. Kandungan flavonoid dalam adem ati dapat menghambat pertumbuhan bakteri Salmonella, penyebab mencret. Selain itu, kandungan tanin dalam adem ati dapat membantu mengurangi peradangan pada usus.","6 Gram akar adem ati, 6 gram rimpang kunyit segar dan 110 ml air putih. Direbus, diambil airnya, diminum 1 kali sehari 100 ml. Diulang selama 3 hari (mencret), 14 hari (radang usus)."
Adem Ati,"Adem ati memiliki berbagai khasiat, salah satunya adalah mengatasi masalah kulit, seperti radang kulit bernanah, radang payudara, luka, dan bisul. Kandungan flavonoid dan tanin dalam adem ati memiliki efek antibakteri dan antiinflamasi yang dapat membantu mengatasi masalah kulit. Efek antibakteri dapat membantu membunuh bakteri penyebab infeksi, sedangkan efek antiinflamasi dapat membantu mengurangi peradangan dan nyeri.","Kulit kayu/daun segar adem ati secukupnya, daun sambilata secukupnya dan air secukupnya. Dipipis hingga berbentuk pasta. Ratakan pasta pada bagian kulit yang sakit. Sebelum dibaluri dengan pasta tersebut, sebaiknya dibersihkan dengan air hangat dahulu. Diperbaharui setiap 3 jam."
Ajeran,Ajeran (Bidens pilosa) mengandung senyawa flavonoid dan minyak atsiri yang memiliki sifat antiinflamasi dan antipiretik. Senyawa ini dapat membantu mengurangi peradangan dan menurunkan suhu tubuh.,"3 Gram herba ajeran, 200 mg babakan pule, 3 gram daun sembun, 2 gram daun poko dan 130 ml air. Diseduh lalu diminum 2 kali sehari, pagi dan sore, tiap kali minum 100 ml."
Ajeran,"Kandungan flavonoid, saponin, dan minyak atsiri dalam ajeran memiliki efek antiinflamasi, antibakteri, dan antiradang. Efek antiinflamasi dapat membantu meredakan peradangan di usus buntu, sedangkan efek antibakteri dan antiradang dapat membantu membunuh bakteri penyebab infeksi usus buntu.","5 gram Herba Ajeran diseduh dengan 120 ml Air atau dihaluskan dan dibuat pil. Diminum 2 kali sehari, pagi dan sore, tiap kali minum 100 ml, atau 3 kali sehari 9 pil. Diulang selama 20 hari."
Akar Wangi,Akar wangi (Vetiveria zizanioides) mengandung senyawa ionon dan alpha-ironon yang memiliki aroma harum. Aroma ini dapat membantu menetralkan bau mulut.,"Akar wangi beberapa potong, daun sirih segar 2 lembar, herba pegagan segar 1 genggam, buah kapulaga 6 butir, air 110 ml. Direbus lalu diambil airnya. Untuk berkumur 2 kali sehari, tiap kali pakai 100 ml, bila perlu dapat diencerkan dengan air hangat, sebagian dapat ditelan karena tidak berbahaya."
Alang-Alang,Alang-alang (Imperata cylindrica) mengandung senyawa flavonoid dan saponin yang memiliki sifat diuretik. Sifat ini dapat membantu meningkatkan produksi urine.,"49 buah rimpang kering, dipotong-potong kemudian ditambah dengan 2 gelas air dan dididihkan hingga volume air tinggal 1 gelas, disaring, kemudian diminum 2 kali sehari."
Alang-Alang,"Alang-alang (Imperata cylindrica) mengandung senyawa flavonoid, saponin, dan tanin yang memiliki sifat antibakteri, antiinflamasi, dan hemostatik. Sifat-sifat ini dapat membantu mengatasi demam air kecil berdarah.","1 sendok penuh rimpang alang-alang, rebus dengan beberapa potong tang kwe (daging buah beligu setengah matang yang dibuat manisan kering) dalam dua gelas sampai airnya tinggal separuh. Air ini diminum 2 gelas 1 hari. Air kencing akan normal dan suhu badan turun."
Andong,"Andong memiliki berbagai khasiat, salah satunya adalah melancarkan haid. Kandungan tannin dalam andong memiliki efek emenagog yang dapat membantu melancarkan haid. Efek emenagog dapat membantu merangsang kontraksi rahim dan mengeluarkan darah menstruasi.","5 helai daun andong segar dan air secukupnya, dibuat infus, diseduh, atau dipipis. Diminum 1 kali sehari 100 ml. Untuk pipis, diminum 1 kali sehari 1⁄4 cangkir."
